
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  6.983E-007  1.002E-006 1.282E-006 1.839E-006
sx2785519a              0.1145     0.9531          0          0         0         0
x2748129a               0.1151      0.958          0          0         0         0
sx2748129a              0.1142     0.9507          0          0         0         0
x2973151a               0.1151     0.9583          0          0         0         0
sx2973151a              0.1147     0.9554          0          0         0         0
x2748146a               0.1151     0.9585          0          0         0         0
sx2748146a              0.1148     0.9556          0          0         0         0
x2991913a               0.1152     0.9592          0          0         0         0
sx2991913a              0.1148     0.9563          0          0         0         0
x3235253a               0.1152     0.9592          0          0         0         0
sx3235253a              0.1146     0.9544          0          0         0         0
x2991907a               0.1152     0.9595          0          0         0         0
sx2991907a              0.1146     0.9546          0          0         0         0
x2879064a               0.1153       0.96          0          0         0         0
sx2879064a              0.1147     0.9551          0          0         0         0
x3197637c               0.1156     0.9628          0          0         0         0
sx3197637c              0.1154     0.9606          0          0         0         0
x2860487c               0.1156      0.963          0          0         0         0
sx2860487c              0.1152     0.9597          0          0         0         0
x2841638c               0.1155     0.9616          0          0         0         0
sx2841638c              0.1151     0.9583          0          0         0         0
x3235256a                0.114     0.9491          0          0         0         0
sx3235256a              0.1136     0.9462          0          0         0         0
x3197630a               0.1142     0.9506          0          0         0         0
sx3197630a              0.1136     0.9457          0          0         0         0
x3104120b               0.1117     0.9303          0          0         0         0
sx3104120b              0.1113     0.9272          0          0         0         0
x2804251a               0.1144     0.9528          0          0         0         0
sx2804251a              0.1142     0.9508          0          0         0         0
x3254210c               0.1155     0.9618          0          0         0         0
sx3254210c              0.1151     0.9584          0          0         0         0
x3048206a               0.1149     0.9564          0          0         0         0
sx3048206a              0.1143     0.9516          0          0         0         0
x2710510c               0.1155     0.9619          0          0         0         0
sx2710510c              0.1152     0.9597          0          0         0         0
x3197628c               0.1155     0.9618          0          0         0         0
sx3197628c              0.1148     0.9563          0          0         0         0
x2766718c               0.1155      0.962          0          0         0         0
sx2766718c              0.1145     0.9537          0          0         0         0
x3010556a               0.1152      0.959          0          0         0         0
sx3010556a              0.1148     0.9561          0          0         0         0
x2710520a               0.1138     0.9477          0          0         0         0
sx2710520a              0.1135     0.9448          0          0         0         0
x2710521a               0.1138     0.9476          0          0         0         0
sx2710521a              0.1132     0.9428          0          0         0         0
x3085396a               0.1138     0.9476          0          0         0         0
sx3085396a              0.1132     0.9427          0          0         0         0
x3122813a               0.1138     0.9475          0          0         0         0
sx3122813a              0.1134     0.9446          0          0         0         0
x3254219c               0.1153     0.9605          0          0         0         0
sx3254219c              0.1147     0.9549          0          0         0         0
x3254220c               0.1153     0.9604          0          0         0         0
sx3254220c              0.1147     0.9549          0          0         0         0
x3104134c               0.1154     0.9607          0          0         0         0
sx3104134c              0.1147     0.9551          0          0         0         0
x2860490a               0.1136     0.9458          0          0         0         0
sx2860490a               0.113     0.9409          0          0         0         0
x3254218a               0.1137     0.9467          0          0         0         0
sx3254218a              0.1131     0.9418          0          0         0         0
x3066818b               0.1109     0.9236          0          0         0         0
sx3066818b              0.1103     0.9184          0          0         0         0
x2785528b               0.1107     0.9215          0          0         0         0
sx2785528b              0.1103     0.9184          0          0         0         0
x2748130b               0.1107     0.9214          0          0         0         0
sx2748130b                0.11     0.9163          0          0         0         0
x3254212b               0.1107     0.9214          0          0         0         0
sx3254212b              0.1097     0.9137          0          0         0         0
x2785520b               0.1104     0.9192          0          0         0         0
sx2785520b              0.1101     0.9172          0          0         0         0
x2729411a               0.1132     0.9423          0          0         0         0
sx2729411a              0.1129     0.9404          0          0         0         0
x2897781a               0.1132     0.9423          0          0         0         0
sx2897781a              0.1129     0.9404          0          0         0         0
x3197644a               0.1132     0.9423          0          0         0         0
sx3197644a              0.1128     0.9394          0          0         0         0
x3010566c                0.115     0.9579          0          0         0         0
sx3010566c              0.1146     0.9546          0          0         0         0
x3236011b               0.1177     0.9803          0          0         0         0
sx3236011b              0.1173     0.9772          0          0         0         0
x3198358b               0.1177     0.9802          0          0         0         0
sx3198358b              0.1168     0.9723          0          0         0         0
x3104859b               0.1177     0.9801          0          0         0         0
sx3104859b              0.1173      0.977          0          0         0         0
x2936275b               0.1228      1.022          0          0         0         0
sx2936275b              0.1225       1.02          0          0         0         0
x3179674b               0.1227      1.022          0          0         0         0
sx3179674b              0.1221      1.017          0          0         0         0
x2748840b               0.1227      1.022          0          0         0         0
sx2748840b              0.1224      1.019          0          0         0         0
x3142099b               0.1227      1.022          0          0         0         0
sx3142099b              0.1221      1.017          0          0         0         0
x3011298c               0.1194     0.9946          0          0         0         0
sx3011298c              0.1192     0.9924          0          0         0         0
x2711234b               0.1177     0.9804          0          0         0         0
sx2711234b              0.1171     0.9752          0          0         0         0
x3198355b               0.1177     0.9804          0          0         0         0
sx3198355b              0.1175     0.9783          0          0         0         0
x2879773a               0.1201     0.9999          0          0         0         0
sx2879773a              0.1195     0.9952          0          0         0         0
x2786274c               0.1196     0.9962          0          0         0         0
sx2786274c               0.119     0.9908          0          0         0         0
x3179682c               0.1196     0.9962          0          0         0         0
sx3179682c              0.1192      0.993          0          0         0         0
x2936270a               0.1242      1.034          0          0         0         0
sx2936270a              0.1236      1.029          0          0         0         0
x3086078a               0.1241      1.034          0          0         0         0
sx3086078a              0.1236      1.029          0          0         0         0
x3217056a               0.1241      1.034          0          0         0         0
sx3217056a               0.123      1.025          0          0         0         0
x3217057a               0.1241      1.034          0          0         0         0
sx3217057a              0.1239      1.032          0          0         0         0
x2936268c               0.1243      1.035          0          0         0         0
sx2936268c              0.1239      1.032          0          0         0         0
x2823592a               0.1245      1.037          0          0         0         0
sx2823592a              0.1244      1.036          0          0         0         0
x3160863c               0.1243      1.035          0          0         0         0
sx3160863c              0.1239      1.032          0          0         0         0
x2730108c                0.124      1.032          0          0         0         0
sx2730108c              0.1236      1.029          0          0         0         0
x2786204c               0.1239      1.032          0          0         0         0
sx2786204c               0.123      1.024          0          0         0         0
x2936216c               0.1238      1.031          0          0         0         0
sx2936216c              0.1235      1.029          0          0         0         0
x3029498c               0.1178     0.9812          0          0         0         0
sx3029498c              0.1176      0.979          0          0         0         0
x2991912a               0.1179     0.9819          0          0         0         0
sx2991912a              0.1176     0.9791          0          0         0         0
x3104128a               0.1179     0.9818          0          0         0         0
sx3104128a              0.1176     0.9789          0          0         0         0
x2673315a               0.1179     0.9817          0          0         0         0
sx2673315a              0.1177     0.9798          0          0         0         0
x2766721a               0.1179     0.9815          0          0         0         0
sx2766721a              0.1173     0.9768          0          0         0         0
x2991906a               0.1179     0.9815          0          0         0         0
sx2991906a              0.1176     0.9796          0          0         0         0
x2879054a               0.1179     0.9815          0          0         0         0
sx2879054a              0.1173     0.9767          0          0         0         0
x3254211b               0.1103     0.9184          0          0         0         0
sx3254211b              0.1097     0.9133          0          0         0         0
x2729407b               0.1102     0.9178          0          0         0         0
sx2729407b              0.1099     0.9148          0          0         0         0
x2691942b               0.1101      0.917          0          0         0         0
sx2691942b              0.1097     0.9139          0          0         0         0
x3197629b               0.1101     0.9166          0          0         0         0
sx3197629b              0.1097     0.9136          0          0         0         0
x2879065b               0.1101     0.9167          0          0         0         0
sx2879065b              0.1098     0.9146          0          0         0         0
x0247160b               0.1099     0.9155          0          0         0         0
sx0247160b              0.1096     0.9124          0          0         0         0
x0247162b               0.1099     0.9154          0          0         0         0
sx0247162b              0.1096     0.9123          0          0         0         0
x2766732b               0.1099     0.9152          0          0         0         0
sx2766732b              0.1097     0.9131          0          0         0         0
x2897784b               0.1099     0.9152          0          0         0         0
sx2897784b               0.109     0.9075          0          0         0         0
x0247171b               0.1099     0.9151          0          0         0         0
sx0247171b              0.1095     0.9121          0          0         0         0
x2936279c               0.1191     0.9915          0          0         0         0
sx2936279c              0.1184     0.9861          0          0         0         0
x3179678b               0.1169     0.9731          0          0         0         0
sx3179678b              0.1165       0.97          0          0         0         0
x3179650b               0.1173     0.9765          0          0         0         0
sx3179650b              0.1169     0.9733          0          0         0         0
x2730107c               0.1203      1.001          0          0         0         0
sx2730107c              0.1196     0.9961          0          0         0         0
x3048888c               0.1219      1.015          0          0         0         0
sx3048888c              0.1215      1.012          0          0         0         0
x3064514c               0.1219      1.015          0          0         0         0
sx3064514c              0.1215      1.012          0          0         0         0
x2861158c                0.122      1.016          0          0         0         0
sx2861158c              0.1213       1.01          0          0         0         0
x2952007c                0.122      1.016          0          0         0         0
sx2952007c              0.1213       1.01          0          0         0         0
x3254873c               0.1221      1.017          0          0         0         0
sx3254873c              0.1218      1.014          0          0         0         0
x2745811c               0.1221      1.017          0          0         0         0
sx2745811c              0.1215      1.012          0          0         0         0
x3142050c               0.1222      1.018          0          0         0         0
sx3142050c              0.1218      1.014          0          0         0         0
x2861157c               0.1229      1.023          0          0         0         0
sx2861157c              0.1222      1.018          0          0         0         0
x3086079b               0.1228      1.023          0          0         0         0
sx3086079b              0.1226      1.021          0          0         0         0
x2936276b               0.1228      1.023          0          0         0         0
sx2936276b              0.1226      1.021          0          0         0         0
x2861223b               0.1228      1.022          0          0         0         0
sx2861223b              0.1222      1.017          0          0         0         0
x3086075b               0.1227      1.022          0          0         0         0
sx3086075b              0.1224      1.019          0          0         0         0
x2730187a               0.1224      1.019          0          0         0         0
sx2730187a              0.1216      1.012          0          0         0         0
x3104856a               0.1224      1.019          0          0         0         0
sx3104856a              0.1221      1.016          0          0         0         0
x2861222a               0.1199     0.9988          0          0         0         0
sx2861222a              0.1191     0.9917          0          0         0         0
x2917330a               0.1199     0.9988          0          0         0         0
sx2917330a              0.1194     0.9941          0          0         0         0
x2879794a                 0.12     0.9989          0          0         0         0
sx2879794a              0.1191     0.9919          0          0         0         0
x2936271a                 0.12     0.9993          0          0         0         0
sx2936271a              0.1197     0.9965          0          0         0         0
x2955074a                 0.12     0.9995          0          0         0         0
sx2955074a              0.1192     0.9925          0          0         0         0
x3030199c               0.1201          1          0          0         0         0
sx3030199c              0.1195     0.9947          0          0         0         0
x2730163c               0.1201     0.9997          0          0         0         0
sx2730163c              0.1194     0.9943          0          0         0         0
x2992624a                 0.12     0.9997          0          0         0         0
sx2992624a              0.1197     0.9969          0          0         0         0
x2692654a                 0.12     0.9996          0          0         0         0
sx2692654a              0.1197     0.9968          0          0         0         0
x2842379a                 0.12     0.9996          0          0         0         0
sx2842379a              0.1192     0.9926          0          0         0         0
x2805031c                 0.12     0.9989          0          0         0         0
sx2805031c               0.119     0.9909          0          0         0         0
x3068944b                0.118     0.9829          0          0         0         0
sx3068944b              0.1171     0.9751          0          0         0         0
x2767407b               0.1181     0.9831          0          0         0         0
sx2767407b              0.1178     0.9811          0          0         0         0
x2879767b               0.1181     0.9831          0          0         0         0
sx2879767b              0.1178     0.9811          0          0         0         0
x2711224b                0.118     0.9828          0          0         0         0
sx2711224b              0.1178     0.9807          0          0         0         0
x3142098b                0.118     0.9826          0          0         0         0
sx3142098b              0.1174     0.9774          0          0         0         0
x2748839b                0.118     0.9827          0          0         0         0
sx2748839b              0.1178     0.9806          0          0         0         0
x2917310b                0.118     0.9826          0          0         0         0
sx2917310b              0.1176     0.9795          0          0         0         0
x2861218c               0.1199     0.9982          0          0         0         0
sx2861218c              0.1192     0.9928          0          0         0         0
x2955081a               0.1201          1          0          0         0         0
sx2955081a              0.1198     0.9973          0          0         0         0
x3160878c               0.1192     0.9927          0          0         0         0
sx3160878c              0.1188     0.9895          0          0         0         0
x2917336c               0.1192     0.9927          0          0         0         0
sx2917336c              0.1188     0.9895          0          0         0         0
x2674047c               0.1227      1.022          0          0         0         0
sx2674047c              0.1223      1.019          0          0         0         0
x3160865a               0.1215      1.011          0          0         0         0
sx3160865a              0.1209      1.007          0          0         0         0
x2767408c               0.1228      1.023          0          0         0         0
sx2767408c              0.1224      1.019          0          0         0         0
x3104853c               0.1228      1.023          0          0         0         0
sx3104853c              0.1222      1.017          0          0         0         0
x3254915b               0.1184     0.9857          0          0         0         0
sx3254915b              0.1182     0.9846          0          0         0         0
x3048963b               0.1184     0.9857          0          0         0         0
sx3048963b               0.118     0.9826          0          0         0         0
x2711226b               0.1184     0.9862          0          0         0         0
sx2711226b              0.1178      0.981          0          0         0         0
x3217052c               0.1228      1.022          0          0         0         0
sx3217052c              0.1222      1.017          0          0         0         0
x3217053c               0.1228      1.023          0          0         0         0
sx3217053c              0.1225       1.02          0          0         0         0
x3086074c               0.1228      1.022          0          0         0         0
sx3086074c              0.1224      1.019          0          0         0         0
x3067507c               0.1228      1.023          0          0         0         0
sx3067507c              0.1219      1.015          0          0         0         0
x2955078a               0.1215      1.011          0          0         0         0
sx2955078a              0.1209      1.007          0          0         0         0
x2955077c               0.1229      1.024          0          0         0         0
sx2955077c              0.1223      1.018          0          0         0         0
x3160872c               0.1229      1.023          0          0         0         0
sx3160872c              0.1219      1.015          0          0         0         0
x3198348a                0.121      1.008          0          0         0         0
sx3198348a              0.1199     0.9982          0          0         0         0
x2711225c               0.1228      1.022          0          0         0         0
sx2711225c              0.1224      1.019          0          0         0         0
x3030200c               0.1228      1.022          0          0         0         0
sx3030200c              0.1224      1.019          0          0         0         0
x3048962a               0.1208      1.006          0          0         0         0
sx3048962a              0.1199     0.9986          0          0         0         0
x3160861c               0.1226      1.021          0          0         0         0
sx3160861c              0.1223      1.019          0          0         0         0
x3104850c               0.1225       1.02          0          0         0         0
sx3104850c              0.1219      1.015          0          0         0         0
x3251799a               0.1196      0.996          0          0         0         0
sx3251799a              0.1188      0.989          0          0         0         0
x2936211c               0.1221      1.017          0          0         0         0
sx2936211c              0.1217      1.014          0          0         0         0
x2842329c               0.1221      1.017          0          0         0         0
sx2842329c              0.1217      1.014          0          0         0         0
x3104796c               0.1221      1.016          0          0         0         0
sx3104796c              0.1214      1.011          0          0         0         0
x3236004c               0.1221      1.017          0          0         0         0
sx3236004c              0.1217      1.014          0          0         0         0
x3160896c               0.1221      1.016          0          0         0         0
sx3160896c              0.1217      1.013          0          0         0         0
x3123452c                0.122      1.016          0          0         0         0
sx3123452c              0.1214      1.011          0          0         0         0
x3254869b               0.1183     0.9854          0          0         0         0
sx3254869b               0.118     0.9822          0          0         0         0
x3030126c               0.1219      1.015          0          0         0         0
sx3030126c              0.1212      1.009          0          0         0         0
x2767341c               0.1219      1.015          0          0         0         0
sx2767341c              0.1209      1.007          0          0         0         0
x3254870c               0.1219      1.015          0          0         0         0
sx3254870c              0.1212      1.009          0          0         0         0
x3048887b               0.1182     0.9841          0          0         0         0
sx3048887b              0.1172     0.9763          0          0         0         0
x2955005b               0.1182      0.984          0          0         0         0
sx2955005b              0.1178     0.9809          0          0         0         0
x3216988b               0.1182      0.984          0          0         0         0
sx3216988b              0.1175     0.9788          0          0         0         0
x3179607b               0.1182      0.984          0          0         0         0
sx3179607b              0.1175     0.9788          0          0         0         0
x2898457a               0.1178     0.9812          0          0         0         0
sx2898457a              0.1176     0.9793          0          0         0         0
x2767340a               0.1178      0.981          0          0         0         0
sx2767340a              0.1161     0.9666          0          0         0         0
x2767340b               0.1179      0.982          0          0         0         0
sx2767340b               0.116     0.9662          0          0         0         0
x2767340c               0.1217      1.014          0          0         0         0
sx2767340c              0.1198     0.9976          0          0         0         0
x3067478a               0.1175     0.9788          0          0         0         0
sx3067478a              0.1167     0.9717          0          0         0         0
x2730149c               0.1216      1.013          0          0         0         0
sx2730149c              0.1212      1.009          0          0         0         0
x2989566b               0.1174     0.9778          0          0         0         0
sx2989566b               0.117     0.9747          0          0         0         0
x2973791a                0.117     0.9741          0          0         0         0
sx2973791a              0.1158     0.9645          0          0         0         0
x3029055b               0.1183     0.9853          0          0         0         0
sx3029055b              0.1174     0.9775          0          0         0         0
x3067506c               0.1236      1.029          0          0         0         0
sx3067506c              0.1233      1.027          0          0         0         0
x2898515c               0.1236      1.029          0          0         0         0
sx2898515c              0.1229      1.024          0          0         0         0
x3198347c               0.1235      1.029          0          0         0         0
sx3198347c              0.1232      1.026          0          0         0         0
x3048946c               0.1235      1.029          0          0         0         0
sx3048946c              0.1232      1.026          0          0         0         0
x3048966c               0.1236      1.029          0          0         0         0
sx3048966c              0.1232      1.026          0          0         0         0
x2992656a               0.1224      1.019          0          0         0         0
sx2992656a              0.1216      1.012          0          0         0         0
x2973833b               0.1219      1.015          0          0         0         0
sx2973833b              0.1215      1.012          0          0         0         0
x2786266a               0.1223      1.018          0          0         0         0
sx2786266a               0.122      1.016          0          0         0         0
x2917333a               0.1223      1.018          0          0         0         0
sx2917333a              0.1217      1.014          0          0         0         0
x2842383a               0.1222      1.017          0          0         0         0
sx2842383a              0.1218      1.014          0          0         0         0
x2842384c               0.1233      1.027          0          0         0         0
sx2842384c              0.1231      1.025          0          0         0         0
x3160871c               0.1233      1.027          0          0         0         0
sx3160871c              0.1227      1.021          0          0         0         0
x3030203c               0.1233      1.026          0          0         0         0
sx3030203c              0.1226      1.021          0          0         0         0
x3179673c               0.1233      1.027          0          0         0         0
sx3179673c              0.1229      1.023          0          0         0         0
x3048965b               0.1209      1.007          0          0         0         0
sx3048965b                0.12      0.999          0          0         0         0
x2692660a               0.1214      1.011          0          0         0         0
sx2692660a              0.1203      1.002          0          0         0         0
x2805034a               0.1219      1.015          0          0         0         0
sx2805034a              0.1217      1.014          0          0         0         0
x2898522a               0.1224      1.019          0          0         0         0
sx2898522a              0.1218      1.014          0          0         0         0
x2692661a               0.1224      1.019          0          0         0         0
sx2692661a              0.1218      1.014          0          0         0         0
x3067448c               0.1229      1.023          0          0         0         0
sx3067448c              0.1222      1.018          0          0         0         0
x2935552c               0.1189     0.9905          0          0         0         0
sx2935552c              0.1186     0.9872          0          0         0         0
x2822864c               0.1184     0.9858          0          0         0         0
sx2822864c               0.118     0.9826          0          0         0         0
x2822865c               0.1184     0.9859          0          0         0         0
sx2822865c              0.1181     0.9837          0          0         0         0
x2916605c               0.1184     0.9859          0          0         0         0
sx2916605c               0.118     0.9827          0          0         0         0
x3085394c               0.1184     0.9859          0          0         0         0
sx3085394c               0.118     0.9827          0          0         0         0
x2804250c               0.1183      0.985          0          0         0         0
sx2804250c              0.1176     0.9796          0          0         0         0
x3048205c               0.1181      0.983          0          0         0         0
sx3048205c              0.1174     0.9776          0          0         0         0
x3048228c               0.1178     0.9812          0          0         0         0
sx3048228c              0.1172     0.9757          0          0         0         0
x2935550c               0.1177       0.98          0          0         0         0
sx2935550c               0.117     0.9746          0          0         0         0
x2710509c               0.1177       0.98          0          0         0         0
sx2710509c              0.1173     0.9767          0          0         0         0
x2822862c               0.1177       0.98          0          0         0         0
sx2822862c              0.1173     0.9767          0          0         0         0
x3066806c               0.1177     0.9799          0          0         0         0
sx3066806c              0.1173     0.9767          0          0         0         0
x2916606c               0.1184     0.9858          0          0         0         0
sx2916606c               0.118     0.9826          0          0         0         0
x3235243c                0.114     0.9493          0          0         0         0
sx3235243c              0.1133     0.9437          0          0         0         0
x2786273b               0.1136     0.9463          0          0         0         0
sx2786273b               0.113      0.941          0          0         0         0
x2805036b               0.1136     0.9462          0          0         0         0
sx2805036b              0.1134     0.9441          0          0         0         0
x3178997c                0.115     0.9575          0          0         0         0
sx3178997c              0.1146     0.9542          0          0         0         0
x3122849b               0.1089     0.9065          0          0         0         0
sx3122849b              0.1085     0.9035          0          0         0         0
x2766750c                0.115     0.9574          0          0         0         0
sx2766750c               0.114      0.949          0          0         0         0
x2763153a               0.1121     0.9333          0          0         0         0
sx2763153a              0.1115     0.9286          0          0         0         0
x3104157c                0.115     0.9574          0          0         0         0
sx3104157c              0.1143     0.9518          0          0         0         0
x_293471a               0.1123     0.9355          0          0         0         0
sx_293471a              0.1118     0.9308          0          0         0         0
x_293471b               0.1095     0.9116          0          0         0         0
sx_293471b              0.1089     0.9065          0          0         0         0
x_293471c                0.115     0.9575          0          0         0         0
sx_293471c              0.1143     0.9519          0          0         0         0
x2748158a               0.1126     0.9378          0          0         0         0
sx2748158a              0.1123     0.9349          0          0         0         0
x3104133a               0.1126     0.9375          0          0         0         0
sx3104133a               0.112     0.9327          0          0         0         0
x2673346c               0.1151     0.9581          0          0         0         0
sx2673346c              0.1144     0.9525          0          0         0         0
x3254238b               0.1096     0.9126          0          0         0         0
sx3254238b               0.109     0.9075          0          0         0         0
x3048230c               0.1149     0.9569          0          0         0         0
sx3048230c              0.1142     0.9513          0          0         0         0
x2841637c               0.1149     0.9566          0          0         0         0
sx2841637c              0.1142      0.951          0          0         0         0
x2897780b               0.1101     0.9171          0          0         0         0
sx2897780b              0.1095     0.9119          0          0         0         0
x3235255b               0.1101     0.9166          0          0         0         0
sx3235255b              0.1099     0.9156          0          0         0         0
x3216370a               0.1127     0.9388          0          0         0         0
sx3216370a              0.1125     0.9368          0          0         0         0
x3216370b                 0.11      0.916          0          0         0         0
sx3216370b              0.1098     0.9139          0          0         0         0
x3216370c               0.1151     0.9587          0          0         0         0
sx3216370c              0.1149     0.9565          0          0         0         0
x2785527a               0.1127     0.9389          0          0         0         0
sx2785527a              0.1124      0.936          0          0         0         0
x2766729a               0.1127     0.9389          0          0         0         0
sx2766729a              0.1122     0.9341          0          0         0         0
x3197641a               0.1053     0.8767          0          0         0         0
sx3197641a               0.105      0.874          0          0         0         0
x2973161a               0.1053     0.8767          0          0         0         0
sx2973161a              0.1045     0.8701          0          0         0         0
x2673306c               0.1168     0.9729          0          0         0         0
sx2673306c              0.1162     0.9674          0          0         0         0
x2785515c               0.1168     0.9728          0          0         0         0
sx2785515c              0.1162     0.9673          0          0         0         0
x2729429a               0.1049     0.8738          0          0         0         0
sx2729429a              0.1044     0.8694          0          0         0         0
x2841633a               0.1049     0.8738          0          0         0         0
sx2841633a              0.1044     0.8693          0          0         0         0
x3235258a               0.1046     0.8711          0          0         0         0
sx3235258a              0.1043     0.8684          0          0         0         0
x3235258b               0.1088      0.906          0          0         0         0
sx3235258b              0.1079     0.8984          0          0         0         0
x3235258c               0.1146      0.954          0          0         0         0
sx3235258c              0.1142     0.9507          0          0         0         0
x2729414a               0.1042     0.8678          0          0         0         0
sx2729414a              0.1037     0.8634          0          0         0         0
x2729414b               0.1088     0.9056          0          0         0         0
sx2729414b              0.1081     0.9006          0          0         0         0
x2729414c               0.1143     0.9518          0          0         0         0
sx2729414c              0.1136     0.9462          0          0         0         0
x2973167b               0.1087     0.9053          0          0         0         0
sx2973167b              0.1084     0.9023          0          0         0         0
x3189189b               0.1087     0.9051          0          0         0         0
sx3189189b              0.1083     0.9021          0          0         0         0
x3189188c                0.114     0.9496          0          0         0         0
sx3189188c              0.1127     0.9386          0          0         0         0
x2935560c                0.114     0.9492          0          0         0         0
sx2935560c              0.1136     0.9458          0          0         0         0
x2916610b               0.1087      0.905          0          0         0         0
sx2916610b              0.1081        0.9          0          0         0         0
x3216368c                0.114     0.9491          0          0         0         0
sx3216368c              0.1136     0.9458          0          0         0         0
x3207907a               0.1039     0.8651          0          0         0         0
sx3207907a              0.1028     0.8564          0          0         0         0
x3207907b               0.1087     0.9051          0          0         0         0
sx3207907b              0.1069     0.8902          0          0         0         0
x3207907c                0.114     0.9495          0          0         0         0
sx3207907c              0.1127     0.9385          0          0         0         0
x2973166c               0.1139     0.9488          0          0         0         0
sx2973166c              0.1133     0.9432          0          0         0         0
x2710532c               0.1139     0.9488          0          0         0         0
sx2710532c              0.1137     0.9466          0          0         0         0
x2860504a               0.1038     0.8643          0          0         0         0
sx2860504a              0.1035     0.8617          0          0         0         0
x3085403a               0.1038     0.8642          0          0         0         0
sx3085403a              0.1033     0.8598          0          0         0         0
x2954355a               0.1038     0.8645          0          0         0         0
sx2954355a              0.1035     0.8619          0          0         0         0
x3122827a               0.1039     0.8648          0          0         0         0
sx3122827a              0.1033     0.8605          0          0         0         0
x3195751a               0.1049     0.8736          0          0         0         0
sx3195751a              0.1044     0.8691          0          0         0         0
x2766724c                0.115     0.9578          0          0         0         0
sx2766724c              0.1146     0.9544          0          0         0         0
x3197647a               0.1049     0.8737          0          0         0         0
sx3197647a              0.1047      0.872          0          0         0         0
x2821010a               0.1049     0.8737          0          0         0         0
sx2821010a              0.1041     0.8671          0          0         0         0
x2895461a               0.1049     0.8738          0          0         0         0
sx2895461a              0.1044     0.8694          0          0         0         0
x2952014a                0.105      0.874          0          0         0         0
sx2952014a              0.1046     0.8714          0          0         0         0
x3010585a                0.105     0.8741          0          0         0         0
sx3010585a              0.1042     0.8674          0          0         0         0
x3120502a                0.105      0.874          0          0         0         0
sx3120502a              0.1046     0.8713          0          0         0         0
x3101789a               0.1035     0.8621          0          0         0         0
sx3101789a               0.103     0.8578          0          0         0         0
x3178982a               0.1035     0.8617          0          0         0         0
sx3178982a               0.103     0.8573          0          0         0         0
x2841623a               0.1035     0.8616          0          0         0         0
sx2841623a              0.1032      0.859          0          0         0         0
x3010563a               0.1035     0.8616          0          0         0         0
sx3010563a              0.1032      0.859          0          0         0         0
x2766727b               0.1081     0.9001          0          0         0         0
sx2766727b              0.1077      0.897          0          0         0         0
x3029507b               0.1081     0.9001          0          0         0         0
sx3029507b              0.1075     0.8951          0          0         0         0
x3197643b               0.1081     0.9001          0          0         0         0
sx3197643b              0.1075     0.8951          0          0         0         0
x3122823b               0.1081     0.9003          0          0         0         0
sx3122823b              0.1075     0.8953          0          0         0         0
x2766726b               0.1082     0.9014          0          0         0         0
sx2766726b              0.1079     0.8984          0          0         0         0
x2785526b               0.1082     0.9014          0          0         0         0
sx2785526b              0.1079     0.8983          0          0         0         0
x2973162b               0.1084     0.9028          0          0         0         0
